document path,document ID,activity,app name,id,interaction active notifications,interaction time,location,notification content,notification title,posted active notifications,posted time,reason number,created time,updated time
projects/activitycollector/databases/(default)/documents/notifications/r9jHNrehpLlYVps7jnEj,r9jHNrehpLlYVps7jnEj,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|dSPzbP51n3j5aRXGe+LKBeFzGWqWqMI+0ucOy2Md9qM=
|103301732932383873",11,"{""normalized"":0.8801851851851852,""epoch_time"":1732932448247,""day"":5}","{""readable"":""HOME"",""long"":-73.1101427,""lat"":40.9066347}",Coming,Omkar Rajwade SBU,13,"{""normalized"":0.8794328703703703,""epoch_time"":1732932383873,""day"":5}",12,11/29/2024 21:06,11/29/2024 21:07
projects/activitycollector/databases/(default)/documents/notifications/r9pdJRYACwcTJ2TxNMUr,r9pdJRYACwcTJ2TxNMUr,,com.whatsapp,"0|com.whatsapp|1|8NdTzvpte425WtFlMVsjRRl2n15NsIuu8bU5onvotbU=
|103301732902505752",,,,I dont think I can ask for more holidays right after three weeks holiday baby,Kaksha,16,"{""normalized"":0.5336226851851852,""epoch_time"":1732902505752,""day"":5}",,11/29/2024 12:48,11/29/2024 12:48
projects/activitycollector/databases/(default)/documents/notifications/rAgwgg3axfrH3XwVHkgA,rAgwgg3axfrH3XwVHkgA,"{""activity"":""NOT_DETECTED""}",com.google.android.gm,0|com.google.android.gm|149768309|gig:743423040:^sq_ig_i_personal|102761732828599580,15,"{""normalized"":0.6897222222222222,""epoch_time"":1732829592335,""day"":4}","{""readable"":""HOME"",""long"":-73.1100814,""lat"":40.9066745}",,HDFC Bank Alerts,20,"{""normalized"":0.6782291666666667,""epoch_time"":1732828599580,""day"":4}",12,11/28/2024 16:16,11/28/2024 16:33
projects/activitycollector/databases/(default)/documents/notifications/rDP76hkkxQbX9PHfSXhk,rDP76hkkxQbX9PHfSXhk,,com.whatsapp,"0|com.whatsapp|1|1FYPaSIKbRGo3es8aDHCj/qbEGhWA5czZiWg26AOuvM=
|103301733017208554",,,,📷 Selling for $3,Chapin Bazaar 2 (4 messages): ~ Harshil Sanghvi,24,"{""normalized"":0.8612037037037037,""epoch_time"":1733017208554,""day"":6}",,11/30/2024 20:40,11/30/2024 20:40
projects/activitycollector/databases/(default)/documents/notifications/rGzZZa719iQ18XV4GCag,rGzZZa719iQ18XV4GCag,,com.whatsapp,"0|com.whatsapp|1|6oopRIu2ypLM5FXgaKYJpWgytRXx9My0HDf51lO0p50=
|103301733023241743",,,,Sold,Chapin Bazaar (8 messages): ~ Harshil Sanghvi,27,"{""normalized"":0.9310300925925926,""epoch_time"":1733023241743,""day"":6}",,11/30/2024 22:20,11/30/2024 22:20
projects/activitycollector/databases/(default)/documents/notifications/rTfhyOh7p04kpmrmCyL3,rTfhyOh7p04kpmrmCyL3,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Zh1ozrTVXTqQ47535XiDJ80QsHMDGR3c0uFj5yQlFYI=
|103301733018400622",17,"{""normalized"":0.8750462962962963,""epoch_time"":1733018404801,""day"":6}","{""readable"":""UNKNOWN"",""long"":-73.1093273,""lat"":40.9071726}","Wordle 1,260 5/6

⬛⬛🟨⬛⬛
🟨🟨⬛⬛⬛
⬛🟩⬛⬛⬛
🟨🟩⬛⬛🟩
🟩🟩🟩🟩🟩",SBU Summer: Rishabh Tamhane SBU,24,"{""normalized"":0.875,""epoch_time"":1733018400622,""day"":6}",12,11/30/2024 21:00,11/30/2024 21:00
projects/activitycollector/databases/(default)/documents/notifications/rVTW17RNqLUI0WL4vxFc,rVTW17RNqLUI0WL4vxFc,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|rG/eeeHA9Hn1HLbSmtjPi3+89k+wc59UT36v/tkRMAc=
|103301733084821135",37,"{""normalized"":0.6439814814814815,""epoch_time"":1733084840615,""day"":7}","{""readable"":""HOME"",""long"":-73.1101242,""lat"":40.9066341}",like really good hahaha,Lavanya,34,"{""normalized"":0.6437615740740741,""epoch_time"":1733084821135,""day"":7}",8,12/01/2024 15:27,12/01/2024 15:27
projects/activitycollector/databases/(default)/documents/notifications/rW403zNY2o8EgjiLe4xk,rW403zNY2o8EgjiLe4xk,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|Zh1ozrTVXTqQ47535XiDJ80QsHMDGR3c0uFj5yQlFYI=
|103301732862217337",5,"{""normalized"":0.07018518518518518,""epoch_time"":1732862464226,""day"":5}","{""readable"":""HOME"",""long"":-73.1101893,""lat"":40.9065487}","Strands #271
“Give me a break”
🔵🔵💡🔵
🔵🔵🔵🟡
🔵",SBU Summer (3 messages): Akshat Sharma SBU,6,"{""normalized"":0.0673263888888889,""epoch_time"":1732862217337,""day"":5}",12,11/29/2024 01:36,11/29/2024 01:41
projects/activitycollector/databases/(default)/documents/notifications/rbOVB8E8soNY4iwIdtpZ,rbOVB8E8soNY4iwIdtpZ,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|j0kxU7R7uqDMMQBiRwTuKMu9n9qGfn01XPLns0jGfqs=
|103301733017062457",17,"{""normalized"":0.8750462962962963,""epoch_time"":1733018404788,""day"":6}","{""readable"":""UNKNOWN"",""long"":-73.1093273,""lat"":40.9071726}",Ok ok,Karan Sbu,21,"{""normalized"":0.8595138888888889,""epoch_time"":1733017062457,""day"":6}",12,11/30/2024 20:37,11/30/2024 21:00
projects/activitycollector/databases/(default)/documents/notifications/rdD7I2HXY2KVlslCADfl,rdD7I2HXY2KVlslCADfl,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|j0kxU7R7uqDMMQBiRwTuKMu9n9qGfn01XPLns0jGfqs=
|103301732895005537",5,"{""normalized"":0.45234953703703706,""epoch_time"":1732895483229,""day"":5}","{""readable"":""HOME"",""long"":-73.1101955,""lat"":40.9064852}",no no im coming man,Karan Sbu,8,"{""normalized"":0.4468171296296296,""epoch_time"":1732895005537,""day"":5}",12,11/29/2024 10:43,11/29/2024 10:51
projects/activitycollector/databases/(default)/documents/notifications/rfXnZuBd6MNFPBi1rewd,rfXnZuBd6MNFPBi1rewd,"{""activity"":""NOT_DETECTED""}",com.whatsapp,"0|com.whatsapp|1|ioeHuX3mTFHAs+PLgZkdOIg8gL2zy9ddTOcEbze4nQk=
|103301732917816318",4,"{""normalized"":0.7116550925925926,""epoch_time"":1732917887899,""day"":5}","{""readable"":""HOME"",""long"":-73.1102106,""lat"":40.9065582}",Check and tell me fast,Fake G1103 (2 messages): Maharshi Uprit SBU,7,"{""normalized"":0.7108333333333333,""epoch_time"":1732917816318,""day"":5}",12,11/29/2024 17:03,11/29/2024 17:04
